job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
MathWorks:36396,MathWorks,Principal IAM/AD Engineer,US-MA-Natick; Natick; United States,Information Technology,https://www.mathworks.com/company/jobs/opportunities/36396-principal-iam-ad-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36396
MathWorks:36893,MathWorks,Principal Security Engineer,US-MA-Natick; Natick; United States,Product Development,https://www.mathworks.com/company/jobs/opportunities/36893-principal-security-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36893
MathWorks:36861,MathWorks,Principal Software Engineer - MATLAB Data Visualization,US-MA-Natick; Natick; United States,Product Development,https://www.mathworks.com/company/jobs/opportunities/36861-principal-software-engineer-matlab-data-visualization.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36861
MathWorks:36799,MathWorks,Principal Software Engineer - MATLAB Graphics,US-MA-Natick; Natick; United States,Product Development,https://www.mathworks.com/company/jobs/opportunities/36799-principal-software-engineer-matlab-graphics.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36799
MathWorks:36888,MathWorks,Principal Software Engineer in Test - MATLAB Online,US-MA-Natick; Natick; United States,Quality Engineering,https://www.mathworks.com/company/jobs/opportunities/36888-principal-software-engineer-in-test-matlab-online.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36888
MathWorks:37212,MathWorks,Principal Strategy & Operations Business Partner- Enterprise,US-MA-Natick; Natick; United States,Sales Operations,https://www.mathworks.com/company/jobs/opportunities/37212-principal-strategy-operations-business-partner-enterprise.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37212
MathWorks:36848,MathWorks,Principal Wireless Engineer,IN-Hyderabad; Hyderabad; IN,Product Development,https://www.mathworks.com/company/jobs/opportunities/36848-principal-wireless-engineer.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36848
MathWorks:36132,MathWorks,Product Strategy Lead - Cloud & Ecosystem for Simulink,US-MA-Natick; Natick; United States,Product Marketing,https://www.mathworks.com/company/jobs/opportunities/36132-product-strategy-lead-cloud-ecosystem-for-simulink.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36132
MathWorks:35686,MathWorks,Queen Mary University of London MATLAB Student Ambassador,UK-Cambridge; Cambridge; UK,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35686-queen-mary-university-of-london-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35686
MathWorks:37205,MathWorks,Queen's University of Belfast MATLAB Student Ambassador,UK-Cambridge; Cambridge; UK,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37205-queen-s-university-of-belfast-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37205
MathWorks:37232,MathWorks,Recruiting Operations Specialist,IN-Hyderabad; Hyderabad; IN,Human Resources,https://www.mathworks.com/company/jobs/opportunities/37232-recruiting-operations-specialist.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37232
MathWorks:37206,MathWorks,Renewal Sales Representative (Italian Speaking),IE-Galway; Galway; IE,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/37206-renewal-sales-representative-italian-speaking.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37206
MathWorks:35480,MathWorks,Renewal Sales Representative (Multilingual) ,IE-Galway; Galway; IE,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/35480-renewal-sales-representative-multilingual.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35480
MathWorks:36592,MathWorks,Sales Development Representative,JP-Tokyo; Tokyo; JP,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/36592-sales-development-representative.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36592
MathWorks:36247,MathWorks,Sales Development Representative (German & English speaking),IE-Galway; Galway; IE,Inside Sales,https://www.mathworks.com/company/jobs/opportunities/36247-sales-development-representative-german-english-speaking.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36247
MathWorks:36945,MathWorks,Semiconductor Industry Manager,US-CA-Santa Clara; Santa Clara; United States,Industry Marketing,https://www.mathworks.com/company/jobs/opportunities/36945-semiconductor-industry-manager.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36945
MathWorks:37235,MathWorks,Senior Account Manager (Aerospace and Defense),US-CA-Torrance; Torrance; United States,Commercial Sales,https://www.mathworks.com/company/jobs/opportunities/37235-senior-account-manager-aerospace-and-defense.html,,2026-07-20T16:17:21+00:00,2026-07-20 09:17 Mon,,false,,,,false,mathworks:MathWorks:37235
MathWorks:37118,MathWorks,Senior Accountant,IE-Galway; Galway; IE,Finance and Operations,https://www.mathworks.com/company/jobs/opportunities/37118-senior-accountant.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37118
