job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Matterport:/job/US-VA-Arlington/Director-of-Channel-Sales--Matterport---Miami--FL-or-Arlington--VA_R38385,Matterport,"Director of Channel Sales, Matterport - Miami, FL or Arlington, VA",US-VA Arlington,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-VA-Arlington/Director-of-Channel-Sales--Matterport---Miami--FL-or-Arlington--VA_R38385,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-VA-Arlington/Director-of-Channel-Sales--Matterport---Miami--FL-or-Arlington--VA_R38385
Matterport:/job/US-VA-Arlington/Director--Capture-Services--Matterport_R38588,Matterport,"Director, Capture Services, Matterport",US-VA Arlington,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-VA-Arlington/Director--Capture-Services--Matterport_R38588,Posted 11 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-VA-Arlington/Director--Capture-Services--Matterport_R38588
Matterport:/job/US-VA-Arlington/Director--Public-Relations---Corporate-Communications_R38441,Matterport,"Director, Public Relations & Corporate Communications",US-VA Arlington,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-VA-Arlington/Director--Public-Relations---Corporate-Communications_R38441,Posted 9 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-VA-Arlington/Director--Public-Relations---Corporate-Communications_R38441
Matterport:/job/US-GA-Atlanta/Field-Sales-Account-Executive---Matterport---Atlanta--GA_R38463,Matterport,"Field Sales Account Executive - Matterport - Atlanta, GA",US-GA Atlanta,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-GA-Atlanta/Field-Sales-Account-Executive---Matterport---Atlanta--GA_R38463,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-GA-Atlanta/Field-Sales-Account-Executive---Matterport---Atlanta--GA_R38463
Matterport:/job/US-MA-Boston/Field-Sales-Account-Executive---Matterport---Boston--MA_R38466,Matterport,"Field Sales Account Executive - Matterport - Boston, MA",US-MA Boston,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-MA-Boston/Field-Sales-Account-Executive---Matterport---Boston--MA_R38466,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-MA-Boston/Field-Sales-Account-Executive---Matterport---Boston--MA_R38466
Matterport:/job/US-NC-Charlotte/Field-Sales-Account-Executive---Matterport---Charlotte--NC_R39021,Matterport,"Field Sales Account Executive - Matterport - Charlotte, NC",US-NC Charlotte,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-NC-Charlotte/Field-Sales-Account-Executive---Matterport---Charlotte--NC_R39021,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-NC-Charlotte/Field-Sales-Account-Executive---Matterport---Charlotte--NC_R39021
Matterport:/job/US-TX-Dallas/Field-Sales-Account-Executive---Matterport---Dallas--TX_R38979,Matterport,"Field Sales Account Executive - Matterport - Dallas, TX",US-TX Dallas,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-TX-Dallas/Field-Sales-Account-Executive---Matterport---Dallas--TX_R38979,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-TX-Dallas/Field-Sales-Account-Executive---Matterport---Dallas--TX_R38979
Matterport:/job/US-TX-Houston/Field-Sales-Account-Executive---Matterport---Houston--TX_R39023,Matterport,"Field Sales Account Executive - Matterport - Houston, TX",US-TX Houston,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-TX-Houston/Field-Sales-Account-Executive---Matterport---Houston--TX_R39023,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-TX-Houston/Field-Sales-Account-Executive---Matterport---Houston--TX_R39023
Matterport:/job/Orange-County---CA/Field-Sales-Account-Executive---Matterport---Irvine--CA_R39024,Matterport,"Field Sales Account Executive - Matterport - Irvine, CA",Orange County - CA,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/Orange-County---CA/Field-Sales-Account-Executive---Matterport---Irvine--CA_R39024,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/Orange-County---CA/Field-Sales-Account-Executive---Matterport---Irvine--CA_R39024
Matterport:/job/US-CA-Los-Angeles/Field-Sales-Account-Executive---Matterport---Los-Angeles--CA_R39025,Matterport,"Field Sales Account Executive - Matterport - Los Angeles, CA",US-CA Los Angeles,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-CA-Los-Angeles/Field-Sales-Account-Executive---Matterport---Los-Angeles--CA_R39025,Posted 17 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-CA-Los-Angeles/Field-Sales-Account-Executive---Matterport---Los-Angeles--CA_R39025
Matterport:/job/New-York/Field-Sales-Account-Executive---Matterport---New-York--NY_R39205,Matterport,"Field Sales Account Executive - Matterport - New York, NY",New York,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/New-York/Field-Sales-Account-Executive---Matterport---New-York--NY_R39205,Posted 17 Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/New-York/Field-Sales-Account-Executive---Matterport---New-York--NY_R39205
Matterport:/job/US-PA-Philadelphia/Field-Sales-Account-Executive---Matterport---Philadelphia--PA_R39020,Matterport,"Field Sales Account Executive - Matterport - Philadelphia, PA",US-PA Philadelphia,,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-PA-Philadelphia/Field-Sales-Account-Executive---Matterport---Philadelphia--PA_R39020,Posted 30+ Days Ago,2026-07-11T03:36:34+00:00,,false,,,,false,workday:Matterport:/job/US-PA-Philadelphia/Field-Sales-Account-Executive---Matterport---Philadelphia--PA_R39020
